Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.35004	0	0.20377
2	0.481904	0	0.0604291
3	0.0872415	0	0.0119045
4	0.0136249	0	0.00701711
5	0.0110937	0	0.0041239
6	0.00521754	0	0.00240946
7	0.00343114	0	0.00141536
8	0.00186475	0	0.000830711
9	0.00113769	0	0.000487772
10	0.000647973	0	0.000286524
11	0.000384576	0	0.000168254
12	0.000222413	0	9.88367e-05
13	0.000130549	0	5.80456e-05
14	7.58372e-05	0	3.40968e-05
15	4.42774e-05	0	2.00277e-05
16	2.57332e-05	0	1.17661e-05
17	1.49761e-05	0	6.9131e-06
18	8.69451e-06	0	4.06272e-06
19	5.04596e-06	0	2.38816e-06
20	2.92339e-06	0	1.40428e-06
21	1.69276e-06	0	8.2605e-07
22	9.79541e-07	0	4.86133e-07
23	5.6554e-07	0	2.86237e-07
24	3.25643e-07	0	1.68636e-07
25	1.88196e-07	0	9.94166e-08
26	1.07622e-07	0	5.86517e-08
27	6.11859e-08	0	3.46295e-08
28	3.58113e-08	0	2.04636e-08
29	1.99023e-08	0	1.21036e-08
30	1.29319e-08	0	7.1659e-09
