Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.89617	0	0.144429
2	0.421198	0	0.0632808
3	0.0995383	0	0.003548
4	0.00698112	0	0.00174752
5	0.0030958	0	0.000747054
6	0.000923954	0	0.000481859
7	0.000656869	0	0.000271463
8	0.000333263	0	0.000166433
9	0.000212831	0	9.85551e-05
10	0.000123439	0	5.93493e-05
11	7.50131e-05	0	3.54736e-05
12	4.46468e-05	0	2.12758e-05
13	2.68282e-05	0	1.27403e-05
14	1.60513e-05	0	7.63438e-06
15	9.62241e-06	0	4.57314e-06
16	5.7627e-06	0	2.73973e-06
17	3.45262e-06	0	1.64119e-06
18	2.06832e-06	0	9.83125e-07
19	1.23885e-06	0	5.88899e-07
20	7.42091e-07	0	3.52744e-07
21	4.44661e-07	0	2.11284e-07
22	2.66009e-07	0	1.2655e-07
23	1.60003e-07	0	7.57956e-08
24	9.53998e-08	0	4.53952e-08
25	5.73922e-08	0	2.71869e-08
26	3.45803e-08	0	1.62815e-08
27	2.07584e-08	0	9.74963e-09
28	1.28794e-08	0	5.83839e-09
29	8.12574e-09	0	3.49661e-09
30	5.02955e-09	0	2.0943e-09
