Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.49374	0	0.0482382
2	0.186492	0	0.0228974
3	0.0475306	0	0.0083907
4	0.0125995	0	0.00417865
5	0.00909519	0	0.00226747
6	0.00543022	0	0.00134059
7	0.00343104	0	0.000810874
8	0.00214432	0	0.000495551
9	0.00133956	0	0.000303878
10	0.00083494	0	0.000186631
11	0.000519844	0	0.000114706
12	0.000323413	0	7.05315e-05
13	0.000201109	0	4.33828e-05
14	0.000125015	0	2.66914e-05
15	7.76952e-05	0	1.64263e-05
16	4.82784e-05	0	1.01118e-05
17	2.99959e-05	0	6.22637e-06
18	1.86354e-05	0	3.83505e-06
19	1.1577e-05	0	2.36288e-06
20	7.19201e-06	0	1.45631e-06
21	4.468e-06	0	8.97864e-07
22	2.77583e-06	0	5.5376e-07
23	1.72466e-06	0	3.41658e-07
24	1.07165e-06	0	2.10875e-07
25	6.65956e-07	0	1.30205e-07
26	4.13899e-07	0	8.04272e-08
27	2.57279e-07	0	4.96998e-08
28	1.59949e-07	0	3.07247e-08
29	9.94565e-08	0	1.90021e-08
30	6.18534e-08	0	1.17571e-08
