Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.70198	0	0.108466
2	0.169771	0	0.0549922
3	0.104665	0	0.0229941
4	0.0415352	0	0.00861004
5	0.0184229	0	0.00352897
6	0.00938451	0	0.00166131
7	0.00514683	0	0.00087182
8	0.00293804	0	0.000486854
9	0.00171167	0	0.000280567
10	0.0010066	0	0.000164161
11	0.00059461	0	9.67457e-05
12	0.000351965	0	5.72108e-05
13	0.000208542	0	3.38864e-05
14	0.000123621	0	2.00862e-05
15	7.32971e-05	0	1.19102e-05
16	4.34639e-05	0	7.06318e-06
17	2.57747e-05	0	4.18891e-06
18	1.52851e-05	0	2.48429e-06
19	9.06468e-06	0	1.4733e-06
20	5.37576e-06	0	8.73704e-07
21	3.1881e-06	0	5.18106e-07
22	1.89072e-06	0	3.07223e-07
23	1.12131e-06	0	1.82166e-07
24	6.65011e-07	0	1.08009e-07
25	3.944e-07	0	6.40365e-08
26	2.33911e-07	0	3.79643e-08
27	1.3873e-07	0	2.2506e-08
28	8.22807e-08	0	1.33413e-08
29	4.88015e-08	0	7.90822e-09
30	2.89455e-08	0	4.68738e-09
