Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.854438	0	0.195007
2	0.989425	0	0.148637
3	0.300887	0	0.0689733
4	0.256488	0	0.0761087
5	0.800285	0	0.259479
6	1.86283	0	0.215018
7	0.828212	0	0.212977
8	1.8137	0	0.218995
9	0.835388	0	0.268491
10	1.97474	0	0.237633
11	0.581786	0	0.273203
12	1.19856	0	0.211856
13	0.833409	0	0.150303
14	4.00265	0	0.079404
15	0.301346	0	0.0496803
16	0.257755	0	0.032043
17	0.303603	0	0.0186254
18	0.348032	0	0.0208149
19	0.362669	0	0.00898869
20	0.390924	0	0.0102738
