Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.70045	0	0.106572
2	0.176532	0	0.0552448
3	0.104217	0	0.0224254
4	0.0340514	0	0.00764438
5	0.0125872	0	0.00275928
6	0.00604263	0	0.00116556
7	0.00314352	0	0.000565604
8	0.0017305	0	0.000302296
9	0.000996158	0	0.00017084
10	0.000585265	0	9.92799e-05
11	0.000346742	0	5.84703e-05
12	0.000206281	0	3.46609e-05
13	0.000122988	0	2.06141e-05
14	7.34136e-05	0	1.22808e-05
15	4.3852e-05	0	7.32318e-06
16	2.62062e-05	0	4.3695e-06
17	1.56666e-05	0	2.60823e-06
18	9.36871e-06	0	1.55742e-06
19	5.60411e-06	0	9.30244e-07
20	3.35313e-06	0	5.55788e-07
21	2.00682e-06	0	3.32154e-07
22	1.20138e-06	0	1.98557e-07
23	7.19385e-07	0	1.18726e-07
24	4.30879e-07	0	7.10102e-08
25	2.58144e-07	0	4.24822e-08
26	1.54695e-07	0	2.5422e-08
27	9.27257e-08	0	1.52171e-08
28	5.55955e-08	0	9.11087e-09
29	3.33413e-08	0	5.45625e-09
30	1.99998e-08	0	3.26844e-09
