Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.03695	0	0.164098
2	0.437572	0	0.0653034
3	0.0917734	0	0.00536693
4	0.00795347	0	0.00334054
5	0.00496287	0	0.00194289
6	0.00283116	0	0.00116494
7	0.001709	0	0.000692729
8	0.00101378	0	0.00041328
9	0.000605461	0	0.00024637
10	0.000360906	0	0.000146931
11	0.000215308	0	8.76223e-05
12	0.000128424	0	5.22568e-05
13	7.66062e-05	0	3.11651e-05
14	4.56955e-05	0	1.85864e-05
15	2.72564e-05	0	1.10845e-05
16	1.6257e-05	0	6.61051e-06
17	9.69651e-06	0	3.94227e-06
18	5.78253e-06	0	2.351e-06
19	3.44952e-06	0	1.40201e-06
20	2.05692e-06	0	8.36073e-07
21	1.22666e-06	0	4.98576e-07
22	7.31388e-07	0	2.97312e-07
23	4.36081e-07	0	1.77292e-07
24	2.59998e-07	0	1.0572e-07
25	1.54701e-07	0	6.30409e-08
26	9.22989e-08	0	3.75909e-08
27	5.51039e-08	0	2.24149e-08
28	3.36071e-08	0	1.33656e-08
29	1.95268e-08	0	7.96955e-09
30	1.19593e-08	0	4.75201e-09
