Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.92017	0	0.0634403
2	0.422249	0	0.028024
3	0.171313	0	0.010016
4	0.025138	0	0.0054018
5	0.0271688	0	0.00349428
6	0.0094454	0	0.0020673
7	0.00742681	0	0.00124902
8	0.00384334	0	0.000725702
9	0.00237742	0	0.000421894
10	0.00133438	0	0.000242586
11	0.00078034	0	0.000139425
12	0.000444924	0	7.99523e-05
13	0.000256043	0	4.5884e-05
14	0.000146207	0	2.63549e-05
15	8.3602e-05	0	1.51672e-05
16	4.76455e-05	0	8.74897e-06
17	2.71304e-05	0	5.06124e-06
18	1.54132e-05	0	2.93735e-06
19	8.74171e-06	0	1.71079e-06
20	4.94684e-06	0	1.00017e-06
21	2.79327e-06	0	5.8702e-07
22	1.57336e-06	0	3.45897e-07
23	8.84004e-07	0	2.04614e-07
24	4.95419e-07	0	1.21495e-07
25	2.77076e-07	0	7.23966e-08
26	1.54955e-07	0	4.32808e-08
27	8.72911e-08	0	2.59507e-08
28	5.00218e-08	0	1.56002e-08
29	2.90043e-08	0	9.39902e-09
30	1.68855e-08	0	5.6736e-09
