Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.845891	0	0.175557
2	0.374935	0	0.23257
3	0.123812	0	0.142689
4	0.0472422	0	0.086698
5	0.0232156	0	0.0520748
6	0.0130849	0	0.0311677
7	0.00770546	0	0.0186504
8	0.00459367	0	0.0111674
9	0.00274927	0	0.00669129
10	0.00164807	0	0.00401132
11	0.000988773	0	0.00240554
12	0.00059355	0	0.00144289
13	0.000356442	0	0.000865589
14	0.00021414	0	0.000519311
15	0.000128721	0	0.000311577
16	7.74295e-05	0	0.000186946
17	4.66463e-05	0	0.000112169
18	2.81245e-05	0	6.73036e-05
19	1.7e-05	0	4.03836e-05
20	1.03429e-05	0	2.42311e-05
