Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.03372	0	0.0160047
2	0.0214087	0	0.00526577
3	0.00692689	0	0.00177261
4	0.00238183	0	0.000607909
5	0.000854981	0	0.000214178
6	0.000323836	0	7.91723e-05
7	0.000132036	0	3.17376e-05
8	5.90475e-05	0	1.4211e-05
9	2.90794e-05	0	7.10549e-06
10	1.54963e-05	0	3.85009e-06
11	8.69864e-06	0	2.18655e-06
12	5.02806e-06	0	1.27301e-06
13	2.95358e-06	0	7.50716e-07
14	1.747e-06	0	4.45696e-07
15	1.04138e-06	0	2.6556e-07
16	6.20109e-07	0	1.58537e-07
17	3.69811e-07	0	9.47461e-08
18	2.22384e-07	0	5.66563e-08
19	1.31874e-07	0	3.38904e-08
20	7.98138e-08	0	2.02759e-08
21	4.72995e-08	0	1.21319e-08
22	2.95647e-08	0	7.25943e-09
23	1.80373e-08	0	4.34383e-09
24	1.09081e-08	0	2.5992e-09
25	6.08622e-09	0	1.55545e-09
26	4.46906e-09	0	9.30605e-10
27	1.95561e-09	0	5.56877e-10
28	2.9638e-09	0	3.33171e-10
29	2.99311e-09	0	1.99483e-10
30	1.81859e-09	0	1.1933e-10
