Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.70045	0	0.106681
2	0.176887	0	0.0554106
3	0.104824	0	0.0224964
4	0.0343057	0	0.00767277
5	0.0126983	0	0.00277341
6	0.00611591	0	0.00117419
7	0.00318945	0	0.000570919
8	0.00175759	0	0.000305519
9	0.00101213	0	0.000172791
10	0.000594682	0	0.000100461
11	0.00035227	0	5.91849e-05
12	0.000209515	0	3.50925e-05
13	0.000124875	0	2.08742e-05
14	7.45122e-05	0	1.24372e-05
15	4.44899e-05	0	7.41713e-06
16	2.65755e-05	0	4.42579e-06
17	1.58798e-05	0	2.64189e-06
18	9.49132e-06	0	1.57751e-06
19	5.67437e-06	0	9.42211e-07
20	3.39323e-06	0	5.62901e-07
21	2.0296e-06	0	3.36373e-07
22	1.21425e-06	0	2.01054e-07
23	7.26617e-07	0	1.20201e-07
24	4.34912e-07	0	7.18791e-08
25	2.60373e-07	0	4.29933e-08
26	1.55916e-07	0	2.57217e-08
27	9.33861e-08	0	1.5392e-08
28	5.59458e-08	0	9.21301e-09
29	3.35243e-08	0	5.51579e-09
30	2.00931e-08	0	3.30292e-09
