Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.24907	0	0.00126506
2	0.00796776	0	0.00109547
3	0.00309189	0	0.000633873
4	0.0016731	0	0.000367609
5	0.000982878	0	0.000216862
6	0.000584266	0	0.000129089
7	0.000349163	0	7.72098e-05
8	0.00020928	0	4.6301e-05
9	0.000125643	0	2.78057e-05
10	7.55002e-05	0	1.67119e-05
11	4.53922e-05	0	1.00487e-05
12	2.72986e-05	0	6.04378e-06
13	1.64199e-05	0	3.63554e-06
14	9.87743e-06	0	2.18708e-06
15	5.94211e-06	0	1.31578e-06
16	3.5748e-06	0	7.91613e-07
17	2.15066e-06	0	4.76268e-07
18	1.29389e-06	0	2.86547e-07
19	7.78447e-07	0	1.72403e-07
20	4.68342e-07	0	1.03728e-07
21	2.81773e-07	0	6.24093e-08
22	1.69527e-07	0	3.75497e-08
23	1.01996e-07	0	2.25925e-08
24	6.13654e-08	0	1.35934e-08
25	3.69209e-08	0	8.17901e-09
26	2.22142e-08	0	4.92101e-09
27	1.3365e-08	0	2.96073e-09
28	8.04081e-09	0	1.78147e-09
29	4.83795e-09	0	1.07195e-09
30	2.91103e-09	0	6.45023e-10
