Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.02166	0	0.0159084
2	0.0211002	0	0.00521429
3	0.00685827	0	0.00175032
4	0.00235491	0	0.000598846
5	0.000845281	0	0.000210749
6	0.000320828	0	7.80353e-05
7	0.000131458	0	3.14786e-05
8	5.9238e-05	0	1.42422e-05
9	2.94241e-05	0	7.19858e-06
10	1.57999e-05	0	3.933e-06
11	8.91346e-06	0	2.24603e-06
12	5.17217e-06	0	1.31242e-06
13	3.04499e-06	0	7.75938e-07
14	1.80676e-06	0	4.61564e-07
15	1.07652e-06	0	2.75453e-07
16	6.43389e-07	0	1.64673e-07
17	3.85523e-07	0	9.85408e-08
18	2.30078e-07	0	5.89982e-08
19	1.3802e-07	0	3.53334e-08
20	8.21301e-08	0	2.11644e-08
21	5.02179e-08	0	1.26783e-08
22	2.88357e-08	0	7.5951e-09
23	1.92069e-08	0	4.54999e-09
24	1.20709e-08	0	2.72584e-09
25	6.24195e-09	0	1.63307e-09
26	4.89888e-09	0	9.78405e-10
27	3.25696e-09	0	5.86159e-10
28	2.73567e-09	0	3.5121e-10
29	1.99159e-09	0	2.10425e-10
30	2.77898e-09	0	1.26034e-10
