Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.10395	0	0.0496673
2	0.147161	0	0.0206968
3	0.0482516	0	0.00801218
4	0.0103162	0	0.00307699
5	0.0047893	0	0.0011956
6	0.00157108	0	0.000468577
7	0.000596185	0	0.000184608
8	0.000243845	0	7.32958e-05
9	9.83046e-05	0	2.94542e-05
10	3.97976e-05	0	1.20388e-05
11	1.64644e-05	0	5.03602e-06
12	6.96881e-06	0	2.172e-06
13	3.02185e-06	0	9.72946e-07
14	1.34547e-06	0	4.55157e-07
15	6.15081e-07	0	2.22784e-07
16	2.87952e-07	0	1.13814e-07
17	1.37554e-07	0	6.03378e-08
18	6.69457e-08	0	3.29565e-08
19	3.35865e-08	0	1.84174e-08
20	1.87598e-08	0	1.04702e-08
21	1.17229e-08	0	6.0288e-09
22	7.56359e-09	0	3.50519e-09
23	4.92898e-09	0	2.0535e-09
24	3.21946e-09	0	1.2105e-09
25	2.10051e-09	0	7.17332e-10
26	1.36707e-09	0	4.2715e-10
27	8.86641e-10	0	2.55407e-10
28	5.73482e-10	0	1.53372e-10
29	3.6923e-10	0	9.24215e-11
30	2.37241e-10	0	5.59125e-11
