Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.573627	0	0.0828019
2	0.159118	0	0.00937819
3	0.0284929	0	0.00297898
4	0.0114498	0	0.00113304
5	0.00422292	0	0.000433035
6	0.00161184	0	0.000164569
7	0.000610613	0	6.26391e-05
8	0.000231574	0	2.38722e-05
9	8.77159e-05	0	9.11737e-06
10	3.32041e-05	0	3.49047e-06
11	1.25584e-05	0	1.34001e-06
12	4.74576e-06	0	5.1606e-07
13	1.79172e-06	0	1.99447e-07
14	6.75789e-07	0	7.73838e-08
15	2.54635e-07	0	3.01515e-08
16	9.58533e-08	0	1.18013e-08
